Feature,Importance
Company_Age_2025,0.4300343323577515
Year_Founded,0.40136391129227195
Date_Joined_Year,0.15259680315875482
Era_2010-2014,0.011641592628790928
Era_2015-2019,0.0011880742833820452
Investor_Count,0.0006084982719424246
Era_2020+,0.0005206786310180595
Log_Valuation,0.0003825282796844908
Valuation ($B),0.000360215492063068
Era_Pre-2000,0.00034495716827885153
Ind_Fintech,0.00033987174550105547
Country_Tier,0.0002019976853268254
Has_Top_VC,0.00010676604291970483
Ind_Enterprise_Tech,9.571112788117622e-05
Is_Tech_Hub,8.866876768769567e-05
Is_Tech_Intensive,3.210600512502554e-05
ValCat_Medium,2.9727633745079556e-05
Ind_Other,2.8305761406312475e-05
Is_Silicon_Valley,2.611094801065975e-05
ValCat_Small,5.851703605059659e-06
Ind_Healthcare,3.291014853290118e-06
ValCat_Mega,0.0
